iter	Logloss
0	0.5723751543
1	0.538886485
2	0.4810022266
3	0.4374030797
4	0.4147767317
5	0.4019238716
6	0.3925442863
7	0.3881071619
8	0.3834115788
9	0.3809116543
10	0.3791122848
11	0.3751262057
12	0.3725225512
13	0.3711713429
14	0.3700164564
15	0.3680629427
16	0.3661986437
17	0.3644010548
18	0.3632903836
19	0.3623750955
20	0.3607648314
21	0.359987752
22	0.3592210403
23	0.3582607801
24	0.3561499417
25	0.3541399616
26	0.3535389743
27	0.3517136238
28	0.3507996957
29	0.350384026
30	0.3498324659
31	0.3493171218
32	0.3486374064
33	0.3480292528
34	0.347450937
35	0.3472363449
36	0.3463742652
37	0.3460079217
38	0.3457241795
39	0.34513891
40	0.3446147344
41	0.3443113218
42	0.3439363249
43	0.3437650075
44	0.3430187292
45	0.3421546697
46	0.340939325
47	0.3406491502
48	0.3403336036
49	0.340130947
50	0.3394409974
51	0.3391166225
52	0.3387990996
53	0.3385420319
54	0.3381987128
55	0.3375092236
56	0.3371639703
57	0.3367827681
58	0.3363781364
59	0.336313175
60	0.3360603874
61	0.3358859186
62	0.3357937053
63	0.335612236
64	0.3355029824
65	0.3353666533
66	0.3351822164
67	0.3349955255
68	0.3349659219
69	0.3348503293
70	0.3346329105
71	0.3344024583
72	0.3342617822
73	0.3341007221
74	0.3339524068
75	0.3338749149
76	0.3337130596
77	0.3335918258
78	0.333325765
79	0.3332159733
80	0.3329750905
81	0.3327907121
82	0.3327360261
83	0.3325278582
84	0.3323876018
85	0.3321790491
86	0.3320837931
87	0.3319707208
88	0.3318589188
89	0.3316366281
90	0.3314997659
91	0.3312864499
92	0.3310708651
93	0.3309944748
94	0.3308411729
95	0.3306637989
96	0.3306081771
97	0.3305506883
98	0.3303828631
99	0.33029389
100	0.3302637769
101	0.3301468795
102	0.3301214673
103	0.3300335764
104	0.3299210451
105	0.3298390335
106	0.3296905849
107	0.3295838431
108	0.3294864071
109	0.3293975123
110	0.3292951617
111	0.3292232322
112	0.3291045741
113	0.3290477127
114	0.3287845453
115	0.3286174102
116	0.3285630457
117	0.3285302013
118	0.3284778986
119	0.3283272228
120	0.3282866169
121	0.3281298621
122	0.3280994917
123	0.3279996331
124	0.3279681918
125	0.3276278653
126	0.3275489508
127	0.3275219856
128	0.3274579824
129	0.3273932143
130	0.3273556973
131	0.3273315204
132	0.327098167
133	0.3270277111
134	0.3269668786
135	0.3269081631
136	0.3268245837
137	0.3266856951
138	0.3266329612
139	0.3266082661
140	0.3265876627
141	0.3264870909
142	0.3263653559
143	0.3263246677
144	0.3262447494
145	0.3262401398
146	0.3261636241
147	0.3261448171
148	0.3260923423
149	0.3260154147
150	0.3260242066
151	0.3259175749
152	0.3258984303
153	0.3258433014
154	0.325837986
155	0.3257565159
156	0.3257451325
157	0.3256515931
158	0.3256704252
159	0.3256418966
160	0.3255740672
161	0.3254584745
162	0.3253603921
163	0.3253575452
164	0.3253390945
165	0.3252942748
166	0.325206987
167	0.3251641314
168	0.3251496632
169	0.3250715206
170	0.3250343721
171	0.3249658568
172	0.3249232676
173	0.3249076469
174	0.3248864718
175	0.3247696753
176	0.3247400608
177	0.3246997608
178	0.324683952
179	0.3246170871
180	0.3245985338
181	0.3245440989
182	0.3244827884
183	0.3244216934
184	0.324390213
185	0.3243340883
186	0.3243297098
187	0.3242756079
188	0.3242375422
189	0.3242317641
190	0.3241813781
191	0.3241629432
192	0.3241144859
193	0.324058722
194	0.323942843
195	0.3238991092
196	0.3238732421
197	0.3238338708
198	0.3237661826
199	0.3237217705
200	0.3236648071
201	0.323639528
202	0.3235815062
203	0.3235576538
204	0.3235405869
205	0.3235158918
206	0.3234974343
207	0.3234662245
208	0.3234079951
209	0.3233606157
210	0.323347888
211	0.3233397189
212	0.3232978232
213	0.3232477393
214	0.323224973
215	0.323160252
216	0.3231415346
217	0.3231118851
218	0.3231135158
219	0.3229832708
220	0.3229607159
221	0.3229551771
222	0.3229195455
223	0.3229003853
224	0.3228725229
225	0.3228372174
226	0.3228083633
227	0.3227643511
228	0.322668616
229	0.3226489541
230	0.3226368655
231	0.3226371947
232	0.3226017631
233	0.3225669352
234	0.3225202573
235	0.322480012
236	0.3223831523
237	0.3223574537
238	0.3223323979
239	0.3222976679
240	0.3222860573
241	0.3222498927
242	0.3222220774
243	0.3221999811
244	0.3221339392
245	0.3221286279
246	0.3220903386
247	0.3220570744
248	0.3220142188
249	0.3220100167
250	0.3219795084
251	0.32196533
252	0.321927813
253	0.3219101894
254	0.3218710848
255	0.3218489885
256	0.321801119
257	0.321776765
258	0.3217593374
259	0.3216976782
260	0.3216479073
261	0.3215960986
262	0.3215633012
263	0.3215582092
264	0.3215249923
265	0.3215170937
266	0.3214965184
267	0.3214567631
268	0.3214354313
269	0.3214282852
270	0.321403794
271	0.3213634665
272	0.3213029792
273	0.3212858102
274	0.3212577049
275	0.3212330255
276	0.32122136
277	0.3211961553
278	0.3211799741
279	0.3211226383
280	0.3211010086
281	0.3210946075
282	0.3210699515
283	0.3210544795
284	0.3210461851
285	0.320998504
286	0.3209790223
287	0.3209327288
288	0.3209179705
289	0.3209038237
290	0.3208838521
291	0.3208721435
292	0.3208512428
293	0.3208406592
294	0.3208219263
295	0.3207836488
296	0.3207320674
297	0.3206357524
298	0.3206331572
299	0.3206076429
300	0.3205655791
301	0.3205392691
302	0.3205161654
303	0.3204999529
304	0.3204809808
305	0.3204598213
306	0.3204351654
307	0.3204307673
308	0.3204006785
309	0.3203891346
310	0.3203485443
311	0.3203346759
312	0.3203146729
313	0.320304783
314	0.3202815069
315	0.3202660234
316	0.3202597635
317	0.3202363698
318	0.3202100127
319	0.3201966695
320	0.320181041
321	0.3201467697
322	0.320146025
323	0.3201429009
324	0.32010988
325	0.3200994414
326	0.3200908685
327	0.3200796694
328	0.3200540413
329	0.3200384755
330	0.3200180883
331	0.3199919664
332	0.319964206
333	0.31991754
334	0.3198681811
335	0.3198585344
336	0.3198451442
337	0.3198265484
338	0.3198166821
339	0.3198062514
340	0.3197957815
341	0.3197859348
342	0.3197459797
343	0.3197307001
344	0.3196777742
345	0.3196643056
346	0.3196580142
347	0.3196325548
348	0.3196219791
349	0.3196114033
350	0.3195957982
351	0.3195858222
352	0.3195761597
353	0.3195600373
354	0.3195458122
355	0.3195360319
356	0.3195250056
357	0.319520435
358	0.3194976254
359	0.3194757408
360	0.3194697785
361	0.3194602062
362	0.3194446326
363	0.319411208
