iter	Passed	Remaining
0	156	209625
1	335	224254
2	505	224817
3	677	225711
4	867	231033
5	1054	233913
6	1242	236012
7	1427	237141
8	1628	240336
9	1817	241247
10	1999	241026
11	2166	239196
12	2335	237836
13	2498	236126
14	2665	234953
15	2849	235264
16	3017	234335
17	3186	233469
18	3353	232628
19	3518	231695
20	3685	230962
21	3850	230141
22	4032	230364
23	4196	229607
24	4361	228871
25	4525	228187
26	4693	227732
27	4861	227280
28	5027	226747
29	5200	226557
30	5375	226462
31	5542	226045
32	5709	225621
33	5877	225244
34	6043	224828
35	6209	224393
36	6380	224169
37	6557	224172
38	6722	223730
39	6890	223434
40	7058	223127
41	7225	222784
42	7397	222614
43	7564	222289
44	7744	222353
45	7917	222220
46	8084	221889
47	8249	221540
48	8417	221265
49	8583	220951
50	8751	220672
51	8929	220663
52	9108	220674
53	9277	220434
54	9443	220124
55	9614	219926
56	9800	220078
57	9985	220191
58	10167	220246
59	10339	220065
60	10503	219719
61	10669	219414
62	10833	219076
63	11002	218841
64	11169	218572
65	11346	218499
66	11517	218311
67	11681	217993
68	11845	217689
69	12016	217490
70	12183	217240
71	12349	216968
72	12522	216835
73	12695	216674
74	12865	216483
75	13031	216215
76	13198	215982
77	13364	215724
78	13528	215430
79	13697	215219
80	13874	215140
81	14044	214954
82	14214	214761
83	14388	214635
84	14559	214458
85	14726	214217
86	14893	213986
87	15081	214049
88	15247	213808
89	15413	213563
90	15578	213305
91	15743	213051
92	15906	212770
93	16075	212575
94	16254	212509
95	16424	212321
96	16590	212088
97	16753	211808
98	16915	211530
99	17085	211341
100	17250	211107
101	17422	210950
102	17597	210826
103	17762	210589
104	17928	210355
105	18097	210167
106	18265	209970
107	18430	209726
108	18596	209506
109	18775	209436
110	18943	209234
111	19110	209020
112	19274	208776
113	19438	208541
114	19604	208315
115	19769	208095
116	19949	208022
117	20118	207834
118	20286	207639
119	20452	207417
120	20618	207205
121	20784	206988
122	20950	206779
123	21132	206720
124	21301	206541
125	21469	206347
126	21635	206131
127	21799	205903
128	21964	205680
129	22134	205512
130	22306	205355
131	22480	205221
132	22647	205019
133	22813	204810
134	22979	204600
135	23149	204426
136	23314	204211
137	23480	204006
138	23660	203925
139	23828	203732
140	23994	203531
141	24161	203334
142	24329	203141
143	24491	202907
144	24658	202707
