feature,mean_abs_shap
antibiotic,2.043873095710239
organism,0.5207649004660662
Q75_heartrate,0.3180686274565667
n_med_categories,0.23730417447706892
Q75_neutrophils,0.21663310555264298
Q75_plt,0.1845639956857468
Q75_cr,0.17618754273398582
Q75_hco3,0.14583484663141102
median_neutrophils,0.1420663169909391
Q25_sysbp,0.13454431758283003
min_time_to_med,0.1316390986916657
Q25_temp,0.12894554954662166
Q25_plt,0.12885884527810787
has_transplant,0.12108879948120582
Q25_cr,0.1109840602533214
Q75_temp,0.10839517698820034
age,0.10568452746461947
Q25_wbc,0.1047820956838412
gender,0.1032256759091197
Q25_heartrate,0.10175022461470574
median_hco3,0.10159224648448649
Q75_bun,0.10157495135287217
median_plt,0.0972120195982644
Q75_sysbp,0.09687877305698596
Q25_resprate,0.09486523907687626
Q25_bun,0.09334742448156962
Q75_wbc,0.09231349030779698
has_ckd,0.08785723433386719
min_time_to_class,0.08355122241843181
Q25_lactate,0.08109414468911384
