feature,mean_abs_shap
antibiotic,3.1282659
organism,0.8579986
has_transplant,0.48991567
median_cr,0.33794582
median_na,0.26859424
median_wbc,0.2577653
median_plt,0.24955666
min_time_to_class,0.24503809
age,0.23647885
median_hgb,0.2219082
n_med_categories,0.21946503
median_neutrophils,0.20560683
first_heartrate,0.20244035
gender,0.19340116
min_time_to_med,0.19168076
first_sysbp,0.17687687
median_sysbp,0.17526679
median_hco3,0.16152026
median_diasbp,0.15787604
median_temp,0.15446244
median_bun,0.15380467
median_heartrate,0.14282832
median_resprate,0.14004722
first_resprate,0.12786674
first_temp,0.11778732
last_heartrate,0.09753991
has_ckd,0.09583694
median_lymphocytes,0.08732204
antibiotic_class,0.084605195
median_lactate,0.084153496
