feature,missing_count,missing_percent
Q75_lactate,737734,60.786838941663966
median_lactate,737734,60.786838941663966
Q25_lactate,737734,60.786838941663966
median_neutrophils,563391,46.4215529963144
Q75_neutrophils,563391,46.4215529963144
Q25_neutrophils,563391,46.4215529963144
Q25_lymphocytes,562501,46.348219943129806
Q75_lymphocytes,562501,46.348219943129806
median_lymphocytes,562501,46.348219943129806
Q75_bun,82721,6.815936508407346
median_bun,82721,6.815936508407346
Q25_bun,82721,6.815936508407346
n_med_categories,82380,6.787839237468082
min_time_to_med,82380,6.787839237468082
med_within_30_days,82380,6.787839237468082
median_na,80692,6.6487536264842735
Q25_na,80692,6.6487536264842735
Q75_na,80692,6.6487536264842735
median_hco3,80678,6.6476000728386735
Q75_hco3,80678,6.6476000728386735
Q25_hco3,80678,6.6476000728386735
median_wbc,71630,5.90207483102499
Q25_wbc,71630,5.90207483102499
Q75_wbc,71630,5.90207483102499
Q75_hgb,71600,5.899602930355846
median_hgb,71600,5.899602930355846
Q25_hgb,71600,5.899602930355846
Q75_plt,69104,5.693940794683106
median_plt,69104,5.693940794683106
Q25_plt,69104,5.693940794683106
